1,0,4,.,8,9,2,9,0,5,0,3,3,2,9,4,5,7
1,0,7,.,6,1,9,4,8,2,5,0,0,7,0,2,7
9,7,.,7,2,3,8,9,8,5,1,9,5,3,7,1,2
1,1,3,.,8,0,8,9,6,1,4,6,6,4,0,5,6,6
1,1,4,.,5,8,2,5,8,6,1,4,7,6,8,8,4,3
9,8,.,8,9,0,0,0,1,6,2,4,9,7,6,5,8
1,3,2,.,2,1,6,4,9,7,9,6,3,2,0,5,0,3
1,6,7,.,7,2,9,4,1,5,0,7,7,1,2,5,0,3
1,5,5,.,8,6,3,0,4,9,0,0,8,1,3,3,6,6
9,4,.,2,1,7,5,9,3,9,4,9,6,5,9,2,9
1,0,1,.,7,6,0,8,8,3,9,5,1,3,6,3,0,8
1,1,7,.,8,1,7,1,4,6,3,3,7,8,6,8,1
1,5,1,.,9,9,1,7,6,6,1,3,2,1,9,9,8,7
1,2,3,.,8,6,8,1,1,7,4,0,7,7,6,7,0,7
1,0,0,.,6,4,4,6,2,2,7,7,1,7,6,6,3,4
